timestamp_sec,tag_id,x_m,y_m,z_m,lateral_m
13.753,2,0.1937,0.3715,1.2569,0.4190
13.753,3,-0.1967,0.3675,1.2361,0.4168
13.753,4,-0.1999,0.0012,1.2586,0.1999
13.921,0,-0.0020,0.8534,5.9939,0.8534
13.921,1,0.2085,-0.0035,1.3553,0.2085
13.921,2,0.1958,0.3656,1.2539,0.4147
13.921,3,-0.1945,0.3616,1.2334,0.4106
13.921,4,-0.1977,-0.0045,1.2563,0.1977
14.121,0,-0.0083,0.8657,5.9653,0.8658
14.121,1,0.1931,0.0005,1.2664,0.1931
14.121,2,0.1949,0.3700,1.2583,0.4182
14.121,3,-0.1958,0.3654,1.2350,0.4146
14.121,4,-0.1990,-0.0008,1.2575,0.1990
14.279,0,-0.0083,0.8657,5.9653,0.8658
14.279,1,0.1931,0.0005,1.2664,0.1931
14.279,2,0.1949,0.3700,1.2583,0.4182
14.279,3,-0.1958,0.3654,1.2350,0.4146
14.279,4,-0.1990,-0.0008,1.2575,0.1990
14.524,0,0.0142,0.8683,5.9978,0.8685
14.524,1,0.1979,0.0002,1.2665,0.1979
14.524,2,0.1989,0.3687,1.2547,0.4189
14.524,3,-0.1911,0.3644,1.2330,0.4115
14.524,4,-0.1941,-0.0014,1.2554,0.1941
14.693,0,0.0035,0.8639,6.0163,0.8639
14.693,1,0.1956,-0.0012,1.2660,0.1956
14.693,2,0.1969,0.3674,1.2553,0.4168
14.693,3,-0.1933,0.3629,1.2332,0.4111
14.693,4,-0.1963,-0.0029,1.2568,0.1964
14.855,0,0.0035,0.8639,6.0163,0.8639
14.855,1,0.1956,-0.0012,1.2660,0.1956
14.855,2,0.1969,0.3674,1.2553,0.4168
14.855,3,-0.1933,0.3629,1.2332,0.4111
14.855,4,-0.1963,-0.0029,1.2568,0.1964
15.009,0,0.0052,0.8416,5.9791,0.8416
15.009,1,0.2103,-0.0051,1.3550,0.2104
15.009,2,0.1968,0.3638,1.2532,0.4136
15.009,3,-0.1930,0.3589,1.2310,0.4075
15.009,4,-0.1958,-0.0067,1.2560,0.1960
15.228,0,-0.0117,0.8818,5.9881,0.8819
15.228,1,0.1928,0.0027,1.2622,0.1928
15.228,2,0.1935,0.3715,1.2513,0.4189
15.228,3,-0.1969,0.3669,1.2304,0.4164
15.228,4,-0.1996,0.0006,1.2540,0.1996
15.619,1,0.1928,0.0027,1.2622,0.1928
15.619,2,0.1935,0.3715,1.2513,0.4189
15.619,3,-0.1969,0.3669,1.2304,0.4164
15.907,0,-0.0117,0.8818,5.9881,0.8819
15.907,1,0.1863,-0.0164,1.2466,0.1870
15.907,2,0.1876,0.3566,1.2377,0.4029
15.907,3,-0.2081,0.3535,1.2211,0.4102
15.907,4,-0.1996,0.0006,1.2540,0.1996
16.437,1,0.2060,-0.0090,1.3018,0.2062
16.437,2,0.1938,0.3606,1.2019,0.4094
16.437,3,-0.1970,0.3568,1.1810,0.4076
16.437,4,-0.2008,-0.0097,1.2090,0.2010
16.729,0,-0.0870,0.9548,5.4159,0.9587
16.729,1,0.1901,0.0209,1.2406,0.1912
16.729,2,0.1785,0.3881,1.1422,0.4272
16.729,3,-0.2122,0.3839,1.1241,0.4387
16.729,4,-0.2164,0.0181,1.1551,0.2171
16.909,0,-0.0870,0.9548,5.4159,0.9587
16.909,1,0.1901,0.0209,1.2406,0.1912
16.909,2,0.1785,0.3881,1.1422,0.4272
16.909,3,-0.2122,0.3839,1.1241,0.4387
16.909,4,-0.2164,0.0181,1.1551,0.2171
17.359,1,0.1945,0.0339,1.2213,0.1975
17.359,107,-0.0142,0.2166,1.5973,0.2170
18.201,1,0.1656,0.0235,1.0152,0.1673
18.201,4,-0.2325,0.0275,1.0298,0.2342
18.418,0,-0.0692,1.0175,5.3622,1.0199
18.418,1,0.1656,0.0235,1.0152,0.1673
18.418,2,0.1815,0.3993,1.1215,0.4386
18.418,4,-0.2325,0.0275,1.0298,0.2342
19.054,0,-0.1379,0.8614,4.4965,0.8724
19.054,1,0.1652,0.0008,0.9731,0.1652
19.753,0,-0.1476,0.8328,4.0316,0.8458
20.085,0,-0.0919,0.6580,3.4373,0.6644
20.320,0,-0.0339,0.5606,3.0159,0.5617
20.496,0,-0.0322,0.5421,2.7752,0.5431
20.796,0,-0.0101,0.4957,2.5654,0.4958
21.141,0,-0.0052,0.4124,2.1733,0.4124
21.373,0,0.0388,0.3327,1.5830,0.3350
21.577,0,0.0388,0.3327,1.5830,0.3350
21.795,0,0.0666,0.2837,1.3482,0.2914
22.213,0,0.0665,0.2379,1.1257,0.2470
22.382,0,0.0302,0.2037,0.7776,0.2059
